model,output,bin,mean_nrmse,median_nrmse,p95_nrmse,max_nrmse,count
nn_ensemble,cd,"[1e-7,1e-6)",0.09036348953894997,0.0815813939161896,0.166703166730667,0.1935075484938628,56
nn_ensemble,cd,"[1e-6,1e-5)",0.03851558940928842,0.019291069665501197,0.17720039594940284,0.2056499961631974,46
nn_ensemble,cd,"[1e-5,1e-4)",0.017046392007931493,0.00729147297653165,0.026034402650215324,0.2144973809919586,124
nn_ensemble,cd,"[1e-4,1e-3)",0.017782320111221522,0.0067892212069319,0.03179039297681695,0.2141240684672769,136
nn_ensemble,cd,"[1e-3,1e-2)",0.017637616545969705,0.011740897474073,0.03160212909396279,0.205604365844165,115
nn_ensemble,cd,"[1e-2,1e-1)",0.03716130474639258,0.0213580866743311,0.20109798230393622,0.2134242561286956,47
nn_ensemble,pc,"[1e-7,1e-6)",0.08168630532703205,0.0537430868316877,0.1847639489444152,0.427366246007654,56
nn_ensemble,pc,"[1e-6,1e-5)",0.09020041564182894,0.03091715840008405,0.22799390744504364,1.2334343386017994,46
nn_ensemble,pc,"[1e-5,1e-4)",0.05420272461938461,0.018831861122480198,0.20828464817477943,1.7328176089047758,124
nn_ensemble,pc,"[1e-4,1e-3)",0.05529085925235896,0.017259798309337597,0.22882163718990606,0.8193588646540265,136
nn_ensemble,pc,"[1e-3,1e-2)",0.09347564946001706,0.0344373868437543,0.32133522920660484,0.8225272957663895,115
nn_ensemble,pc,"[1e-2,1e-1)",0.1722193345723602,0.0984480590067768,0.5571809590084696,0.877081771628045,47
rbf_baseline,cd,"[1e-7,1e-6)",0.0889505180322366,0.0668477197253938,0.22978149581469692,0.296674023760233,56
rbf_baseline,cd,"[1e-6,1e-5)",0.03785803962417571,0.0177234210572641,0.18679364311153315,0.217306802991269,46
rbf_baseline,cd,"[1e-5,1e-4)",0.021418378370417997,0.0058902786019672995,0.10095235565313784,0.2196418222595693,124
rbf_baseline,cd,"[1e-4,1e-3)",0.02803559929818201,0.009712253915615199,0.1530247244813202,0.2201727524722118,136
rbf_baseline,cd,"[1e-3,1e-2)",0.024061523604876657,0.0117561215107172,0.07668257968448183,0.267629317586577,115
rbf_baseline,cd,"[1e-2,1e-1)",0.0400650545962096,0.0217814174491949,0.19220849746174343,0.219315073880487,47
rbf_baseline,pc,"[1e-7,1e-6)",0.08165693575334228,0.04779711643934935,0.21793793147039509,0.5742956864268964,56
rbf_baseline,pc,"[1e-6,1e-5)",0.10154802710934678,0.02261805032274175,0.26676782046136427,1.5283836873635792,46
rbf_baseline,pc,"[1e-5,1e-4)",0.04537664282088895,0.01084125577742835,0.15034995706261303,2.1502551191828565,124
rbf_baseline,pc,"[1e-4,1e-3)",0.06442770220376239,0.01864488999299805,0.20920196123307302,1.5737181618049825,136
rbf_baseline,pc,"[1e-3,1e-2)",0.07736966049790191,0.0259807519483063,0.23253570035104454,0.903818237525326,115
rbf_baseline,pc,"[1e-2,1e-1)",0.18786748882440127,0.0902519430626777,0.5291932732262015,1.120506867701578,47
pod_rbf_log,cd,"[1e-7,1e-6)",0.08683254430384178,0.0880836250661645,0.1644957367262243,0.1875090220058811,56
pod_rbf_log,cd,"[1e-6,1e-5)",0.03427115456529898,0.012833588583090999,0.17621049564159982,0.2111276776161101,46
pod_rbf_log,cd,"[1e-5,1e-4)",0.01826808773323549,0.006925760759666,0.06110579210195223,0.2196273505501474,124
pod_rbf_log,cd,"[1e-4,1e-3)",0.022672241719287112,0.008925598340481601,0.07796291829656066,0.229251117179761,136
pod_rbf_log,cd,"[1e-3,1e-2)",0.018828820864487325,0.0102142479504465,0.047592508418263124,0.2127631025099672,115
pod_rbf_log,cd,"[1e-2,1e-1)",0.037995700415130056,0.021053641284862,0.19638331766084033,0.2133045328946273,47
pod_rbf_log,pc,"[1e-7,1e-6)",0.08505064088197356,0.0562696206011514,0.18745766168884126,0.5599526967389629,56
pod_rbf_log,pc,"[1e-6,1e-5)",0.105744925310551,0.03226259396228655,0.3355851616606683,1.3257622665837552,46
pod_rbf_log,pc,"[1e-5,1e-4)",0.062371461843721755,0.023084575911468,0.2093734887375288,2.0365941615948646,124
pod_rbf_log,pc,"[1e-4,1e-3)",0.07799165460001185,0.031609839830591346,0.2675882099532485,1.353819418925582,136
pod_rbf_log,pc,"[1e-3,1e-2)",0.11412959345342104,0.0411528728450389,0.39339802724938056,0.950205156503828,115
pod_rbf_log,pc,"[1e-2,1e-1)",0.22450226226417072,0.1004455089290402,0.778482462421323,1.2957673990813718,47
pod_rbf_nolog,cd,"[1e-7,1e-6)",0.08672116329646418,0.0879725907018333,0.16445451355555663,0.1881484173345984,56
pod_rbf_nolog,cd,"[1e-6,1e-5)",0.03462250060796867,0.013361626027749499,0.17631137922915868,0.2110704306041109,46
pod_rbf_nolog,cd,"[1e-5,1e-4)",0.01843589309613744,0.0068623279209746,0.06101786338432546,0.2199703809490374,124
pod_rbf_nolog,cd,"[1e-4,1e-3)",0.022634975854293585,0.008819874952709549,0.078030782131259,0.2296208029693836,136
pod_rbf_nolog,cd,"[1e-3,1e-2)",0.018894642128442007,0.0098990647803312,0.047331644679504466,0.2126885550525739,115
pod_rbf_nolog,cd,"[1e-2,1e-1)",0.03794616713205911,0.0212655586236644,0.19647434710827388,0.2134199819951719,47
pod_rbf_nolog,pc,"[1e-7,1e-6)",0.08698054994190825,0.05771741450915995,0.19512935213394703,0.5681009286598462,56
pod_rbf_nolog,pc,"[1e-6,1e-5)",0.10724995276704558,0.03394590628215065,0.3620169193478165,1.3077036890373996,46
pod_rbf_nolog,pc,"[1e-5,1e-4)",0.06440595830361863,0.0245558259789823,0.21220838395880676,2.0488399093117886,124
pod_rbf_nolog,pc,"[1e-4,1e-3)",0.08266716657021271,0.030967556985488552,0.29885794784565684,1.4072326477760495,136
pod_rbf_nolog,pc,"[1e-3,1e-2)",0.12224909322851553,0.0426944442891844,0.41630102763794435,1.011658060855926,115
pod_rbf_nolog,pc,"[1e-2,1e-1)",0.24157831226856757,0.1339716282843738,0.8056641447075515,1.3364094909580049,47
