problem,method,noise_std,n_runs,n_success,success_rate,median_time_s,median_peak_rss_mib,median_error_rel,median_objective
infer_D,BFGS,0.0,6,6,1.0,9.870640083998296,330.34375,7.093451706397041e-05,9.631502868716168e-14
infer_D,BFGS,0.005,18,18,1.0,9.277978271000393,326.90625,0.04067189013396104,1.190989336266064e-05
infer_D,BFGS,0.02,18,18,1.0,9.148716583502392,334.296875,0.14463904995756108,0.00019054517877772887
infer_D,CG,0.0,6,6,1.0,22.541216708499633,349.96875,7.533118656523117e-05,9.933077084872706e-14
infer_D,CG,0.005,18,18,1.0,20.611952562499937,343.4609375,0.0406023554093938,1.1909892264686733e-05
infer_D,CG,0.02,18,18,1.0,15.644238999499066,342.6640625,0.14463686600325965,0.0001905451787945541
infer_D,L-BFGS-B,0.0,6,5,0.8333333333333334,4.993152458999248,320.75,0.0008751918500556164,2.8005189683172494e-11
infer_D,L-BFGS-B,0.005,18,17,0.9444444444444444,4.80028004199994,318.25,0.04058980948367131,1.1909897296721965e-05
infer_D,L-BFGS-B,0.02,18,16,0.8888888888888888,4.641347395499906,316.078125,0.14569670491889036,0.0001905100887895373
infer_D,Newton-CG,0.0,6,5,0.8333333333333334,7.389343709000968,333.8125,0.3249761801042404,7.258880163361994e-07
infer_D,Newton-CG,0.005,18,14,0.7777777777777778,8.545384500501314,342.390625,0.34974237966615684,1.2624093745098183e-05
infer_D,Newton-CG,0.02,18,13,0.7222222222222222,9.108454166998854,343.96875,0.35248843515129996,0.00019143290975427558
infer_D,SLSQP,0.0,6,6,1.0,3.3086387915027444,306.9921875,1.9408666595980797,1.5363504281734472e-05
infer_D,SLSQP,0.005,18,18,1.0,3.402868812499946,304.75,1.9549793473534964,2.7206478812150963e-05
infer_D,SLSQP,0.02,18,18,1.0,3.5978258334998827,308.7421875,1.9960368081026048,0.00020625791315548528
infer_D,TNC,0.0,6,5,0.8333333333333334,6.803320416001952,321.6875,0.0025355688724741712,2.8005199092783198e-11
infer_D,TNC,0.005,18,13,0.7222222222222222,5.901813749998837,324.46875,0.03685262498336107,1.1910141977557672e-05
infer_D,TNC,0.02,18,14,0.7777777777777778,6.068609124999057,326.078125,0.1429992309688325,0.00019051323488401557
infer_phi0,BFGS,0.0,4,4,1.0,3.796861603999787,309.6796875,2.587559796059698e-13,1.6267198947492902e-26
infer_phi0,BFGS,0.005,12,12,1.0,3.614969354501227,304.9921875,0.00012610217285372965,6.3956131205146136e-06
infer_phi0,BFGS,0.02,12,12,1.0,3.6383133540002746,309.7421875,0.0005044086903049916,0.00010232980992823364
infer_phi0,CG,0.0,4,4,1.0,3.686810166500436,308.2734375,3.7532939719161124e-13,3.3734727147550685e-26
infer_phi0,CG,0.005,12,12,1.0,3.5802856250011246,309.046875,0.00012610217283004488,6.395613120514612e-06
infer_phi0,CG,0.02,12,12,1.0,3.5517342285020277,308.453125,0.0005044086902866358,0.00010232980992823376
infer_phi0,L-BFGS-B,0.0,4,4,1.0,3.5279853745014407,305.890625,4.09080177140216e-12,3.124395721832873e-23
infer_phi0,L-BFGS-B,0.005,12,12,1.0,3.3027501454998855,305.953125,0.0001261021728932536,6.395613120514612e-06
infer_phi0,L-BFGS-B,0.02,12,12,1.0,3.2870275835011853,304.2421875,0.0005044086903591705,0.00010232980992823378
infer_phi0,Newton-CG,0.0,4,4,1.0,5.921977187999801,328.765625,7.601326975266904e-13,4.515021620039174e-25
infer_phi0,Newton-CG,0.005,12,12,1.0,6.116034750501058,330.3203125,0.0001261021737342105,6.3956131205146136e-06
infer_phi0,Newton-CG,0.02,12,12,1.0,6.246434125498126,331.015625,0.0005044086908808272,0.00010232980992823384
infer_phi0,SLSQP,0.0,4,4,1.0,3.3519658540008095,304.7578125,7.642775301519578e-13,3.9787886511405773e-25
infer_phi0,SLSQP,0.005,12,12,1.0,3.1125571874999878,301.84375,0.00012610217359979953,6.3956131205146136e-06
infer_phi0,SLSQP,0.02,12,12,1.0,3.111040416499236,299.3828125,0.0005044086907937857,0.00010232980992823368
infer_phi0,TNC,0.0,4,4,1.0,3.2916081245002715,306.921875,6.426340940871948e-13,2.2265738870660643e-25
infer_phi0,TNC,0.005,12,12,1.0,3.9244490210003278,314.0703125,0.00012610217250249206,6.395613120514619e-06
infer_phi0,TNC,0.02,12,12,1.0,3.906079125499673,310.8359375,0.0005044086898938389,0.00010232980992823382
