phi_applied,target_current_density,simulated_current_density
-1,-0.01535534353468321,-0.0003225558093106824
-2.357142857142857,0.002907363350987652,-0.00107828491940771
-3.714285714285714,-0.01876702253826873,-0.002700529637351546
-5.071428571428571,-0.003023972524931527,-0.006328101489179958
-6.428571428571429,-0.01526659416001193,-0.01429811277859015
-7.785714285714286,-0.02840422317248015,-0.03067179767851726
-9.142857142857142,-0.06294710303494898,-0.0599243210624477
-10.5,-0.1093310555798522,-0.1011930181786274
-11.85714285714286,-0.136329602136226,-0.1439835345113226
-13.21428571428572,-0.1684405834565085,-0.1776785599148221
-14.57142857142857,-0.2039958364364836,-0.2019369527939126
-15.92857142857143,-0.2263725971044301,-0.2230974463897479
-17.28571428571428,-0.2525733334157895,-0.2475457213732484
-18.64285714285714,-0.281618136720002,-0.2781835767945054
-20,-0.3049871149473905,-0.3125357850790112
