applied_voltage_v_vs_rhe,target_peroxide_current_density_mA_per_cm2,simulated_peroxide_current_density_mA_per_cm2
6.949999999999999512e-01,-1.011395709388538222e+01,-1.206591903564448920e+01
6.921428571428570597e-01,-1.955527873327431720e+01,-2.011312300123481478e+01
6.892857142857142794e-01,-2.611762518937614530e+01,-2.802524981177266739e+01
6.864285714285713880e-01,-3.534149496859508588e+01,-3.582138621232049047e+01
6.835714285714284966e-01,-3.718739724963316462e+01,-4.353930476682931072e+01
6.807142857142856052e-01,-5.519666699275338573e+01,-5.121167831475509757e+01
6.778571428571428248e-01,-7.046576022698053521e+01,-5.887313215213978168e+01
6.749999999999999334e-01,-6.711721350089598559e+01,-6.655015092114106778e+01
6.721428571428570420e-01,-7.495922982230442244e+01,-7.430745503701497512e+01
6.692857142857142616e-01,-8.395341944714061810e+01,-8.218423420114079647e+01
6.664285714285713702e-01,-8.917439004311977158e+01,-9.024025741866765316e+01
6.635714285714284788e-01,-9.720796140933514096e+01,-9.853830606034193806e+01
6.607142857142856984e-01,-1.069824736118783193e+02,-1.071959627211901847e+02
6.578571428571428070e-01,-1.132112946631910688e+02,-1.163197535372575118e+02
6.549999999999999156e-01,-1.241319192592783196e+02,-1.261064257580701735e+02
