phi_applied,target_observable,simulated_observable
0,0.1528369235117168,0.1481730118521836
0.002857142857142857,0.151642223985645,0.1503560777448178
0.005714285714285714,0.1576830439186412,0.1530969903142923
0.008571428571428572,0.1575232810407616,0.1563791792832191
0.01142857142857143,0.1757575919983836,0.160254877627648
0.01428571428571429,0.1550096324640731,0.1647231596450507
0.01714285714285714,0.1415455832528613,0.1698131269566958
0.02,0.1742354195982317,0.1755657693021956
0.02285714285714286,0.1805176204590675,0.1820373102037058
0.02571428571428571,0.1850562321013081,0.1892877938454791
0.02857142857142857,0.2001595140501302,0.1974543360280792
0.03142857142857143,0.2100297946708123,0.2066653328453573
0.03428571428571429,0.2177630371219735,0.2171133602537582
0.03714285714285714,0.2368519262959983,0.2291245751919506
0.04,0.2481075745648836,0.2431427509348517
