evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.0894379152860524,0.011164883226457631,0.023236288295130286,0.025779443578069012,0,0,5.0,5.0,0
2,0,4.988835116773543,4.976763711704869,0.0887733234753806,0.011148368787911428,0.023245204289737954,0.025780334542106497,0,0,4.988835116773543,4.976763711704869,0
3,1,4.977686747985631,4.953518507415131,0.0881086896200286,0.011131625667690834,0.023253878607753273,0.025780922409986008,0,0,4.977686747985631,4.953518507415131,0
4,1,4.933093272833984,4.860537690256178,0.0854501365363299,0.011062542947153564,0.023285768155387465,0.02577997003574818,0,0,4.933093272833984,4.860537690256178,0
5,1,4.754719372227397,4.488614421620367,0.07480824315450248,0.010748097639259723,0.0233585101434872,0.02571267389803042,0,0,4.754719372227397,4.488614421620367,0
6,1,4.041223769801048,3.0009213470771225,0.033644650278930835,0.00860128278459372,0.021830507223805366,0.023463868206013403,0,0,4.041223769801048,3.0009213470771225,0
7,1,2.6019863978527664,1.0000000003885297e-06,1000000000.1579885,-0.00899663554965364,-2.217001390599739,2.217019644787206,1,0,2.6019863978527664,1.0000000003885297e-06,0
8,1,4.0412237697823645,3.0009213470381653,0.03364465027791967,0.008601282784510242,0.021830507223693597,0.02346386820587881,0,0,4.0412237697823645,3.0009213470381653,0
9,1,4.041223757174093,3.0009213207489513,0.03364464959556547,0.008601282728104799,0.021830507148092128,0.023463868114863232,0,0,4.041223757174093,3.0009213207489513,0
10,1,3.3216050775134294,1.5004611603744755,0.0036744140798043103,0.0031318025681855216,0.007198050790068373,0.007849848565577387,0,0,3.3216050775134294,1.5004611603744755,0
11,2,2.6716631440749086,1e-06,1000000000.1573745,-0.008631811721530248,-2.215812147820568,2.2158289605930315,1,0,2.6716631440749086,1e-06,0
